ID,State,Name,Category,Income,Qualification,Description,Type,Award Amount,Duration,Application Deadline,Eligibility Criteria
472,West Bengal,Sustainability Medical Scholarship by IIT Foundation,General,500000,Diploma,Sustainability Medical Scholarship by IIT Foundation provides financial assistance to students in General category. The award amount is INR 72602 per year.,International,INR 72602,1 years,10th June 2025,Applicant must have scored at least 53% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the OBC category. Applicants must be residents of Tamil Nadu.
473,Uttar Pradesh,Development Social Sciences Scholarship by Ambani Institute,SEBC,1000000,Medical,Development Social Sciences Scholarship by Ambani Institute provides financial assistance to students in SEBC category. The award amount is INR 10205 per year.,Government,INR 10205,3 years,10th September 2025,Applicant must have scored at least 80% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the SC category. Applicants must be residents of Delhi.
474,Odisha,Research Agriculture Scholarship by IIT Foundation,Minority,1500000,Post-Graduation,Research Agriculture Scholarship by IIT Foundation provides financial assistance to students in Minority category. The award amount is INR 143373 per year.,NGO,INR 143373,3 years,29th August 2025,Applicant must have scored at least 61% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the General category. Applicants must be residents of Chhattisgarh.
475,Madhya Pradesh,Empowerment Law Scholarship by IIT Foundation,General,500000,Graduation,Empowerment Law Scholarship by IIT Foundation provides financial assistance to students in General category. The award amount is INR 116738 per year.,Private,INR 116738,1 years,9th September 2025,Applicant must have scored at least 60% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the SC category. Applicants must be residents of Maharashtra.
476,Jharkhand,Diversity Arts Scholarship by JNU Research,SC,0,Medical,Diversity Arts Scholarship by JNU Research provides financial assistance to students in SC category. The award amount is INR 27540 per year.,International,INR 27540,3 years,12th August 2025,Applicant must have scored at least 71% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the General category. Applicants must be residents of Karnataka.
477,Delhi,Global Law Scholarship by Indian Government,all,250000,Diploma,Global Law Scholarship by Indian Government provides financial assistance to students in all category. The award amount is INR 45740 per year.,International,INR 45740,2 years,22th August 2025,Applicant must have scored at least 72% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the all category. Applicants must be residents of Madhya Pradesh.
478,Andhra Pradesh,Excellence Literature Scholarship by Ambani Institute,Minority,0,Engineering,Excellence Literature Scholarship by Ambani Institute provides financial assistance to students in Minority category. The award amount is INR 141038 per year.,Private,INR 141038,3 years,5th September 2025,Applicant must have scored at least 55% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the Minority category. Applicants must be residents of Telangana.
479,West Bengal,Merit Engineering Scholarship by Tata Foundation,SEBC,1000000,Engineering,Merit Engineering Scholarship by Tata Foundation provides financial assistance to students in SEBC category. The award amount is INR 145300 per year.,Corporate,INR 145300,3 years,25th August 2025,Applicant must have scored at least 65% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the ST category. Applicants must be residents of Jharkhand.
480,Uttar Pradesh,Development Social Sciences Scholarship by Indian Government,all,1000000,Post-Graduation,Development Social Sciences Scholarship by Indian Government provides financial assistance to students in all category. The award amount is INR 53854 per year.,Government,INR 53854,4 years,17th July 2025,Applicant must have scored at least 57% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the SC category. Applicants must be residents of Haryana.
481,Chhattisgarh,Research Medical Scholarship by Mahatma Gandhi Trust,all,500000,Post-Graduation,Research Medical Scholarship by Mahatma Gandhi Trust provides financial assistance to students in all category. The award amount is INR 104842 per year.,International,INR 104842,3 years,4th July 2025,Applicant must have scored at least 65% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the SC category. Applicants must be residents of Tamil Nadu.
482,Jharkhand,Merit Literature Scholarship by Mahatma Gandhi Trust,SC,1000000,Post-Graduation,Merit Literature Scholarship by Mahatma Gandhi Trust provides financial assistance to students in SC category. The award amount is INR 110210 per year.,Corporate,INR 110210,4 years,29th June 2025,Applicant must have scored at least 68% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the Minority category. Applicants must be residents of Assam.
483,Delhi,Sustainability Economics Scholarship by Bharti Enterprises,General,0,Post-Graduation,Sustainability Economics Scholarship by Bharti Enterprises provides financial assistance to students in General category. The award amount is INR 32685 per year.,Private,INR 32685,4 years,28th July 2025,Applicant must have scored at least 88% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Uttar Pradesh.
484,Kerala,Merit Social Sciences Scholarship by Bharti Enterprises,Minority,0,Ph.D.,Merit Social Sciences Scholarship by Bharti Enterprises provides financial assistance to students in Minority category. The award amount is INR 63788 per year.,International,INR 63788,3 years,10th July 2025,Applicant must have scored at least 53% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the SC category. Applicants must be residents of Tamil Nadu.
485,Uttar Pradesh,Excellence Arts Scholarship by Mahatma Gandhi Trust,all,250000,HSC,Excellence Arts Scholarship by Mahatma Gandhi Trust provides financial assistance to students in all category. The award amount is INR 38964 per year.,Corporate,INR 38964,4 years,3th June 2025,Applicant must have scored at least 58% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the General category. Applicants must be residents of Maharashtra.
486,Madhya Pradesh,Diversity Arts Scholarship by Indian Science Society,SC,750000,Diploma,Diversity Arts Scholarship by Indian Science Society provides financial assistance to students in SC category. The award amount is INR 113842 per year.,Private,INR 113842,1 years,1th September 2025,Applicant must have scored at least 78% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the SC category. Applicants must be residents of Madhya Pradesh.
487,Andhra Pradesh,Global Engineering Scholarship by Bharti Enterprises,OBC,750000,Ph.D.,Global Engineering Scholarship by Bharti Enterprises provides financial assistance to students in OBC category. The award amount is INR 147095 per year.,Government,INR 147095,4 years,16th September 2025,Applicant must have scored at least 74% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the SC category. Applicants must be residents of Bihar.
488,Assam,Empowerment Economics Scholarship by Ambani Institute,Minority,500000,Ph.D.,Empowerment Economics Scholarship by Ambani Institute provides financial assistance to students in Minority category. The award amount is INR 132170 per year.,NGO,INR 132170,3 years,28th July 2025,Applicant must have scored at least 57% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the ST category. Applicants must be residents of Tamil Nadu.
489,Bihar,Excellence Entrepreneurship Scholarship by Dr. APJ Abdul Kalam Foundation,OBC,1000000,Graduation,Excellence Entrepreneurship Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in OBC category. The award amount is INR 21115 per year.,Private,INR 21115,2 years,2th August 2025,Applicant must have scored at least 85% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the SEBC category. Applicants must be residents of West Bengal.
490,Karnataka,Global Entrepreneurship Scholarship by Indian Education Trust,SC,1500000,Diploma,Global Entrepreneurship Scholarship by Indian Education Trust provides financial assistance to students in SC category. The award amount is INR 73046 per year.,Private,INR 73046,1 years,27th July 2025,Applicant must have scored at least 70% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the ST category. Applicants must be residents of Madhya Pradesh.
491,Madhya Pradesh,Merit Medical Scholarship by JNU Research,General,1500000,Ph.D.,Merit Medical Scholarship by JNU Research provides financial assistance to students in General category. The award amount is INR 45330 per year.,Private,INR 45330,3 years,25th July 2025,Applicant must have scored at least 68% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the ST category. Applicants must be residents of Bihar.
492,Rajasthan,Community Engineering Scholarship by Bharti Enterprises,ST,1000000,Graduation,Community Engineering Scholarship by Bharti Enterprises provides financial assistance to students in ST category. The award amount is INR 61668 per year.,NGO,INR 61668,3 years,17th September 2025,Applicant must have scored at least 83% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the OBC category. Applicants must be residents of Rajasthan.
493,West Bengal,Community Arts Scholarship by Indian Education Trust,all,250000,Medical,Community Arts Scholarship by Indian Education Trust provides financial assistance to students in all category. The award amount is INR 108333 per year.,International,INR 108333,1 years,27th August 2025,Applicant must have scored at least 70% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the all category. Applicants must be residents of Assam.
494,Odisha,Community Economics Scholarship by Indian Education Trust,OBC,1000000,Ph.D.,Community Economics Scholarship by Indian Education Trust provides financial assistance to students in OBC category. The award amount is INR 76482 per year.,Government,INR 76482,3 years,7th September 2025,Applicant must have scored at least 90% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the OBC category. Applicants must be residents of Gujarat.
495,Punjab,Research STEM Scholarship by Tata Foundation,OBC,1000000,Graduation,Research STEM Scholarship by Tata Foundation provides financial assistance to students in OBC category. The award amount is INR 95104 per year.,International,INR 95104,2 years,20th July 2025,Applicant must have scored at least 73% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the all category. Applicants must be residents of Uttarakhand.
496,Odisha,Excellence Social Sciences Scholarship by JNU Research,ST,500000,Ph.D.,Excellence Social Sciences Scholarship by JNU Research provides financial assistance to students in ST category. The award amount is INR 56478 per year.,International,INR 56478,4 years,13th September 2025,Applicant must have scored at least 72% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Andhra Pradesh.
497,Bihar,Community Engineering Scholarship by Ambani Institute,Minority,500000,Medical,Community Engineering Scholarship by Ambani Institute provides financial assistance to students in Minority category. The award amount is INR 129931 per year.,Private,INR 129931,2 years,8th July 2025,Applicant must have scored at least 58% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the EWS category. Applicants must be residents of Rajasthan.
498,Haryana,Global STEM Scholarship by Indian Science Society,Minority,1500000,Graduation,Global STEM Scholarship by Indian Science Society provides financial assistance to students in Minority category. The award amount is INR 64588 per year.,NGO,INR 64588,1 years,28th July 2025,Applicant must have scored at least 89% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the SC category. Applicants must be residents of Tamil Nadu.
499,Karnataka,Merit Agriculture Scholarship by Ambani Institute,Minority,750000,Ph.D.,Merit Agriculture Scholarship by Ambani Institute provides financial assistance to students in Minority category. The award amount is INR 124322 per year.,NGO,INR 124322,3 years,15th September 2025,Applicant must have scored at least 64% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the General category. Applicants must be residents of Assam.
500,Karnataka,Innovation Medical Scholarship by Indian Science Society,SC,750000,Graduation,Innovation Medical Scholarship by Indian Science Society provides financial assistance to students in SC category. The award amount is INR 16012 per year.,Corporate,INR 16012,3 years,21th September 2025,Applicant must have scored at least 64% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the General category. Applicants must be residents of Uttar Pradesh.
501,Rajasthan,Innovation Economics Scholarship by Indian Education Trust,EWS,1000000,Graduation,Innovation Economics Scholarship by Indian Education Trust provides financial assistance to students in EWS category. The award amount is INR 14908 per year.,International,INR 14908,4 years,16th September 2025,Applicant must have scored at least 89% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the Minority category. Applicants must be residents of Tamil Nadu.
502,West Bengal,Merit Literature Scholarship by Indian Government,EWS,1500000,Post-Graduation,Merit Literature Scholarship by Indian Government provides financial assistance to students in EWS category. The award amount is INR 56510 per year.,Government,INR 56510,4 years,23th September 2025,Applicant must have scored at least 73% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the all category. Applicants must be residents of Rajasthan.
503,Telangana,Diversity Literature Scholarship by Ambani Institute,EWS,1500000,Engineering,Diversity Literature Scholarship by Ambani Institute provides financial assistance to students in EWS category. The award amount is INR 92686 per year.,Government,INR 92686,3 years,4th August 2025,Applicant must have scored at least 66% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the Minority category. Applicants must be residents of Bihar.
504,Rajasthan,Development Engineering Scholarship by JNU Research,OBC,1500000,Medical,Development Engineering Scholarship by JNU Research provides financial assistance to students in OBC category. The award amount is INR 105690 per year.,Government,INR 105690,1 years,30th September 2025,Applicant must have scored at least 73% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the OBC category. Applicants must be residents of Telangana.
505,West Bengal,Innovation Entrepreneurship Scholarship by Ambani Institute,EWS,0,Ph.D.,Innovation Entrepreneurship Scholarship by Ambani Institute provides financial assistance to students in EWS category. The award amount is INR 98140 per year.,Corporate,INR 98140,3 years,23th August 2025,Applicant must have scored at least 77% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Tamil Nadu.
506,Tamil Nadu,Excellence Social Sciences Scholarship by Bharti Enterprises,SEBC,1500000,Ph.D.,Excellence Social Sciences Scholarship by Bharti Enterprises provides financial assistance to students in SEBC category. The award amount is INR 62187 per year.,NGO,INR 62187,4 years,29th September 2025,Applicant must have scored at least 58% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the all category. Applicants must be residents of Jharkhand.
507,Bihar,Merit Arts Scholarship by Indian Government,EWS,500000,Medical,Merit Arts Scholarship by Indian Government provides financial assistance to students in EWS category. The award amount is INR 133228 per year.,Government,INR 133228,2 years,12th June 2025,Applicant must have scored at least 57% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the EWS category. Applicants must be residents of Bihar.
508,Haryana,Community Entrepreneurship Scholarship by Indian Science Society,OBC,500000,HSC,Community Entrepreneurship Scholarship by Indian Science Society provides financial assistance to students in OBC category. The award amount is INR 97811 per year.,NGO,INR 97811,2 years,29th August 2025,Applicant must have scored at least 58% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the SC category. Applicants must be residents of Odisha.
509,Haryana,Research Entrepreneurship Scholarship by Bharti Enterprises,ST,750000,Graduation,Research Entrepreneurship Scholarship by Bharti Enterprises provides financial assistance to students in ST category. The award amount is INR 148264 per year.,NGO,INR 148264,2 years,28th September 2025,Applicant must have scored at least 62% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the Minority category. Applicants must be residents of Delhi.
510,Andhra Pradesh,Innovation Engineering Scholarship by Bharti Enterprises,OBC,750000,Post-Graduation,Innovation Engineering Scholarship by Bharti Enterprises provides financial assistance to students in OBC category. The award amount is INR 69881 per year.,Government,INR 69881,2 years,5th September 2025,Applicant must have scored at least 78% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the OBC category. Applicants must be residents of Haryana.
511,West Bengal,Community Economics Scholarship by JNU Research,Minority,250000,Graduation,Community Economics Scholarship by JNU Research provides financial assistance to students in Minority category. The award amount is INR 118956 per year.,NGO,INR 118956,3 years,22th June 2025,Applicant must have scored at least 77% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the SC category. Applicants must be residents of Gujarat.
512,Maharashtra,Merit Literature Scholarship by JNU Research,EWS,750000,Diploma,Merit Literature Scholarship by JNU Research provides financial assistance to students in EWS category. The award amount is INR 110128 per year.,Private,INR 110128,2 years,13th July 2025,Applicant must have scored at least 62% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the SC category. Applicants must be residents of Uttarakhand.
513,Gujarat,Sustainability Agriculture Scholarship by Tata Foundation,EWS,750000,HSC,Sustainability Agriculture Scholarship by Tata Foundation provides financial assistance to students in EWS category. The award amount is INR 12710 per year.,Private,INR 12710,4 years,5th September 2025,Applicant must have scored at least 73% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the ST category. Applicants must be residents of Andhra Pradesh.
514,Jharkhand,Diversity STEM Scholarship by Bharti Enterprises,all,1500000,HSC,Diversity STEM Scholarship by Bharti Enterprises provides financial assistance to students in all category. The award amount is INR 77617 per year.,Corporate,INR 77617,2 years,25th July 2025,Applicant must have scored at least 61% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the Minority category. Applicants must be residents of Haryana.
515,Rajasthan,Empowerment Economics Scholarship by Bharti Enterprises,OBC,1000000,Ph.D.,Empowerment Economics Scholarship by Bharti Enterprises provides financial assistance to students in OBC category. The award amount is INR 30689 per year.,NGO,INR 30689,2 years,16th August 2025,Applicant must have scored at least 65% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the EWS category. Applicants must be residents of Uttarakhand.
516,Uttarakhand,Leadership Social Sciences Scholarship by JNU Research,SEBC,1500000,Engineering,Leadership Social Sciences Scholarship by JNU Research provides financial assistance to students in SEBC category. The award amount is INR 123246 per year.,International,INR 123246,1 years,2th August 2025,Applicant must have scored at least 89% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the EWS category. Applicants must be residents of Telangana.
517,Chhattisgarh,Merit Law Scholarship by JNU Research,all,0,Medical,Merit Law Scholarship by JNU Research provides financial assistance to students in all category. The award amount is INR 72058 per year.,Government,INR 72058,1 years,1th August 2025,Applicant must have scored at least 63% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the all category. Applicants must be residents of Uttar Pradesh.
518,Haryana,Research Arts Scholarship by Ambani Institute,General,1500000,Medical,Research Arts Scholarship by Ambani Institute provides financial assistance to students in General category. The award amount is INR 66793 per year.,International,INR 66793,4 years,14th June 2025,Applicant must have scored at least 74% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the all category. Applicants must be residents of Rajasthan.
519,Assam,Empowerment Medical Scholarship by Indian Government,OBC,0,Medical,Empowerment Medical Scholarship by Indian Government provides financial assistance to students in OBC category. The award amount is INR 9930 per year.,Corporate,INR 9930,2 years,8th July 2025,Applicant must have scored at least 87% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the ST category. Applicants must be residents of Haryana.
520,Jharkhand,Innovation Social Sciences Scholarship by Tata Foundation,OBC,750000,Engineering,Innovation Social Sciences Scholarship by Tata Foundation provides financial assistance to students in OBC category. The award amount is INR 107992 per year.,NGO,INR 107992,3 years,21th September 2025,Applicant must have scored at least 85% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Madhya Pradesh.
521,Punjab,Innovation STEM Scholarship by JNU Research,all,250000,HSC,Innovation STEM Scholarship by JNU Research provides financial assistance to students in all category. The award amount is INR 71293 per year.,Corporate,INR 71293,1 years,30th August 2025,Applicant must have scored at least 82% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the General category. Applicants must be residents of Assam.
522,Assam,Sustainability STEM Scholarship by IIT Foundation,ST,1500000,Medical,Sustainability STEM Scholarship by IIT Foundation provides financial assistance to students in ST category. The award amount is INR 69020 per year.,Corporate,INR 69020,1 years,7th July 2025,Applicant must have scored at least 71% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the OBC category. Applicants must be residents of Andhra Pradesh.
523,Rajasthan,Sustainability Agriculture Scholarship by Indian Education Trust,Minority,1000000,Ph.D.,Sustainability Agriculture Scholarship by Indian Education Trust provides financial assistance to students in Minority category. The award amount is INR 122064 per year.,NGO,INR 122064,1 years,20th July 2025,Applicant must have scored at least 83% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the General category. Applicants must be residents of Andhra Pradesh.
524,Karnataka,Excellence Law Scholarship by Bharti Enterprises,EWS,0,Graduation,Excellence Law Scholarship by Bharti Enterprises provides financial assistance to students in EWS category. The award amount is INR 134933 per year.,International,INR 134933,1 years,7th June 2025,Applicant must have scored at least 73% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the all category. Applicants must be residents of Delhi.
525,Uttarakhand,Merit Economics Scholarship by Bharti Enterprises,all,1000000,Post-Graduation,Merit Economics Scholarship by Bharti Enterprises provides financial assistance to students in all category. The award amount is INR 13939 per year.,Private,INR 13939,2 years,30th June 2025,Applicant must have scored at least 56% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the EWS category. Applicants must be residents of Punjab.
526,Rajasthan,Leadership Agriculture Scholarship by JNU Research,SC,0,Ph.D.,Leadership Agriculture Scholarship by JNU Research provides financial assistance to students in SC category. The award amount is INR 88553 per year.,Corporate,INR 88553,2 years,20th June 2025,Applicant must have scored at least 77% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the SEBC category. Applicants must be residents of West Bengal.
527,Kerala,Excellence Literature Scholarship by Bharti Enterprises,ST,750000,HSC,Excellence Literature Scholarship by Bharti Enterprises provides financial assistance to students in ST category. The award amount is INR 45659 per year.,Private,INR 45659,3 years,15th August 2025,Applicant must have scored at least 86% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the SC category. Applicants must be residents of Chhattisgarh.
528,Assam,Empowerment Entrepreneurship Scholarship by Ambani Institute,General,750000,Engineering,Empowerment Entrepreneurship Scholarship by Ambani Institute provides financial assistance to students in General category. The award amount is INR 113896 per year.,Government,INR 113896,3 years,17th August 2025,Applicant must have scored at least 60% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the OBC category. Applicants must be residents of Chhattisgarh.
529,Rajasthan,Merit Agriculture Scholarship by Indian Government,Minority,1500000,Engineering,Merit Agriculture Scholarship by Indian Government provides financial assistance to students in Minority category. The award amount is INR 81417 per year.,NGO,INR 81417,2 years,9th September 2025,Applicant must have scored at least 78% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the General category. Applicants must be residents of Madhya Pradesh.
530,Chhattisgarh,Sustainability Law Scholarship by Dr. APJ Abdul Kalam Foundation,ST,0,Post-Graduation,Sustainability Law Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in ST category. The award amount is INR 19489 per year.,Private,INR 19489,2 years,30th August 2025,Applicant must have scored at least 54% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the Minority category. Applicants must be residents of Punjab.
531,Uttarakhand,Diversity Economics Scholarship by IIT Foundation,EWS,0,Medical,Diversity Economics Scholarship by IIT Foundation provides financial assistance to students in EWS category. The award amount is INR 130169 per year.,Private,INR 130169,2 years,11th June 2025,Applicant must have scored at least 69% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the SC category. Applicants must be residents of Haryana.
532,West Bengal,Global Arts Scholarship by Dr. APJ Abdul Kalam Foundation,General,0,Engineering,Global Arts Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in General category. The award amount is INR 12657 per year.,NGO,INR 12657,2 years,2th July 2025,Applicant must have scored at least 68% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the General category. Applicants must be residents of Delhi.
533,Bihar,Sustainability Engineering Scholarship by IIT Foundation,EWS,1000000,Ph.D.,Sustainability Engineering Scholarship by IIT Foundation provides financial assistance to students in EWS category. The award amount is INR 19829 per year.,Corporate,INR 19829,2 years,7th August 2025,Applicant must have scored at least 90% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the SC category. Applicants must be residents of West Bengal.
534,Andhra Pradesh,Innovation Law Scholarship by Indian Education Trust,ST,1500000,Post-Graduation,Innovation Law Scholarship by Indian Education Trust provides financial assistance to students in ST category. The award amount is INR 91727 per year.,NGO,INR 91727,4 years,1th June 2025,Applicant must have scored at least 72% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the EWS category. Applicants must be residents of Haryana.
535,Punjab,Youth Social Sciences Scholarship by Dr. APJ Abdul Kalam Foundation,OBC,1500000,Diploma,Youth Social Sciences Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in OBC category. The award amount is INR 140291 per year.,International,INR 140291,3 years,12th June 2025,Applicant must have scored at least 61% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the all category. Applicants must be residents of Chhattisgarh.
