ID,State,Name,Category,Income Eligibility,Qualification,Eligible Courses,Special Criteria,Minimum Qualification,Description,Type,Selection Process,Award Amount,Duration,Application Deadline,Registration Link
211,Telangana,Post-Graduate Scholarship for SC/ST Students,SC/ST Students,"INR 200,000",PG,Pg,SC/ST category,Not Specified,Financial support for SC/ST students pursuing post-graduate studies.,Private,Not Specified,"Up to INR 10,000/month",Full course,Varying dates,https://tsche.ac.in
212,Telangana,National Scholarship Portal (NSP) Telangana,SC/ST/OBC/Minority,"INR 200,000",UG/PG,Ug/pg,Minority category,Not Specified,Government-sponsored scholarships for various categories.,Government,Not Specified,Varies,Full course,Varying dates,https://scholarships.gov.in
213,Telangana,Chief Minister's Overseas Scholarship Scheme,All,"INR 500,000",UG/PG,Ug/pg,All category,Not Specified,Scholarship for students pursuing higher education abroad.,International,Not Specified,Up to INR 10 Lakhs,Full course,Varying dates,https://www.telangana.gov.in
214,Telangana,Vikram Sarabhai Space Centre (VSSC) Scholarship,All,"INR 300,000",UG/PG,Ug/pg,All category,Not Specified,Scholarships for students pursuing careers in space research.,Private,Not Specified,"Up to INR 1,50,000",Full course,Varying dates,https://www.isro.gov.in
215,Telangana,Telangana Engineering and Medical Scholarships,SC/ST/OBC/General,"INR 200,000",Engineering/Medical,Engineering or medical,SC/ST category,Not Specified,Financial assistance for students pursuing engineering or medical courses.,Private,Not Specified,Varies,Full course,Varying dates,https://tsche.ac.in
216,Telangana,Telangana State Residential Educational Institutions Scholarship,All,"INR 100,000",Class 9-12,Class 9-12,All category,Not Specified,Scholarship for students in state-run residential schools.,Government,Not Specified,"Up to INR 2,500/month",Annual,Varying dates,https://tswreis.in
217,Telangana,Telangana State Police Scholarship,All,"INR 300,000",UG/PG,Ug/pg,All category,Not Specified,Scholarships for children of police personnel.,Government,Not Specified,Varies,Full course,Varying dates,https://tslprb.in
218,Telangana,Telangana Handicapped Welfare Scholarship,Disabled Students,"INR 200,000",UG/PG,Ug/pg,Differently Abled category,Not Specified,Scholarships for students with disabilities.,NGO,Not Specified,Varies,Full course,Varying dates,https://tswcdwelfare.org
219,Telangana,Telangana SC/ST Financial Assistance for Higher Education,SC/ST Students,"INR 200,000",UG/PG,Ug/pg,SC/ST category,Not Specified,Financial assistance for SC/ST students pursuing higher education.,Not Specified,Not Specified,Varies,Full course,Varying dates,https://telanganaepass.cgg.gov.in
220,Telangana,Telangana State Minority Welfare Scheme,Minority Students,"INR 200,000",UG/PG,Ug/pg,Minority category,Not Specified,Scholarships for minority students pursuing higher education.,Government,Not Specified,Varies,Full course,Varying dates,https://telanganaepass.cgg.gov.in
221,Telangana,Telangana Rural Development Scholarship,Rural Students,"INR 100,000",UG/PG,Ug/pg,Not Specified,Not Specified,Scholarship for students from rural areas pursuing higher education.,Private,Not Specified,Varies,Full course,Varying dates,https://tsche.ac.in
222,Telangana,TATA Trusts Scholarship,All,"INR 300,000",UG/PG,Ug/pg,All category,Not Specified,Scholarship for students pursuing higher education.,International,Not Specified,Varies,Full course,Varying dates,https://www.tatatrusts.org
223,Telangana,Reliance Foundation Scholarship,All,"INR 200,000",UG/PG,Ug/pg,All category,Not Specified,Scholarship for meritorious students from economically weaker backgrounds.,NGO,Not Specified,Up to INR 2 Lakhs,Full course,Varying dates,https://www.scholarships.reliancefoundation.org
224,Telangana,L'Oréal India For Young Women in Science,Women,"INR 300,000",UG/PG,Young women pursuing science and technology degree,Female category,Not Specified,For young women pursuing science and technology degrees.,International,Not Specified,"INR 2,50,000/year",Full course,Varying dates,https://www.loreal.com
225,Telangana,Flipkart Scholarship Program,All,"INR 200,000",UG/PG,Students in the tech and engineering,All category,Not Specified,Financial support for students in the tech and engineering fields.,Private,Not Specified,"Up to INR 1,00,000/year",Full course,Varying dates,https://www.flipkart.com
226,Telangana,Google India Women in Tech Scholarship,Women,"INR 300,000",UG/PG,Computer science,Female category,Not Specified,For female students pursuing technical degrees in computer science.,International,Not Specified,"INR 1,50,000/year",Full course,Varying dates,https://www.google.com
227,Telangana,Adobe India Women in Technology Scholarship,Women,"INR 300,000",UG/PG,Women pursuing technical degrees in computer science,Female category,Not Specified,Scholarships for women pursuing technical degrees in computer science or related fields.,International,Not Specified,"INR 2,00,000/year",Full course,Varying dates,https://www.adobe.com
228,Telangana,Dr. Reddy's Foundation Scholarship,All,"INR 200,000",UG/PG,Ug/pg,All category,Not Specified,"Scholarship for students pursuing courses in health, education, and related fields.",NGO,Not Specified,Varies,Full course,Varying dates,https://www.drreddysfoundation.org
229,Telangana,HDFC Bank Parivartan Scholarship,All,"INR 200,000",UG/PG,Ug/pg,All category,Not Specified,Financial assistance for students in need.,Private,Not Specified,"INR 20,000-50,000/year",Full course,Varying dates,https://www.hdfcbank.com
230,Telangana,K.C. Mahindra Education Trust Scholarship,All,"INR 200,000",UG/PG,Ug/pg,All category,Not Specified,Scholarship for students pursuing higher education abroad.,International,Not Specified,"Up to INR 1,00,000/year",Full course,Varying dates,https://www.kcmet.org
231,Telangana,Birla Institute of Technology & Science (BITS) Scholarship,All,"INR 300,000",UG/PG,Ug/pg,All category,Not Specified,Financial aid for students pursuing courses at BITS Pilani.,Private,Not Specified,Varies,Full course,Varying dates,https://www.bits-pilani.ac.in
232,Telangana,Bosch India Foundation Scholarship,All,"INR 200,000",UG/PG,Students pursuing degrees in engineering,All category,Not Specified,For students pursuing degrees in engineering and technology fields.,International,Not Specified,"INR 50,000-1,00,000",Full course,Varying dates,https://www.boschindia.com
233,Telangana,Tech Mahindra Foundation Scholarship,All,"INR 200,000",UG/PG,"Students pursuing engineering, it, and business degree",All category,Not Specified,"Scholarship for students pursuing engineering, IT, and business degrees.",NGO,Not Specified,Varies,Full course,Varying dates,https://www.techmahindra.com
234,Telangana,Siemens India Scholarship,All,"INR 200,000",UG/PG,Students pursuing engineering,All category,Not Specified,Financial support for students pursuing engineering or technology courses.,International,Not Specified,"INR 1,00,000/year",Full course,Varying dates,https://www.siemens.com
235,Telangana,Shiksha Foundation Scholarship,All,"INR 100,000",Class 9-12/UG/PG,Class 9-12/ug/pg,All category,Not Specified,Scholarships for students from disadvantaged backgrounds.,NGO,Not Specified,Varies,Full course,Varying dates,https://www.shikshafoundation.org
236,Telangana,Amity Scholarship for Meritorious Students,All,"INR 300,000",UG/PG,Meritorious students pursuing various ug,All category,Not Specified,Scholarships for meritorious students pursuing various UG/PG courses.,Private,Not Specified,Varies,Full course,Varying dates,https://www.amity.edu
237,Telangana,Aditya Birla Capital Scholarship,All,"INR 500,000",UG/PG,Ug/pg,All category,Not Specified,Provides financial aid for undergraduate and postgraduate students.,Private,Not Specified,"Up to INR 50,000/year",Full course,Varying dates,https://www.adityabirla.com
238,Telangana,NTR Vidyonnathi Scheme,SC/ST Students,"INR 200,000",Pre-exam,Pre-exam,SC/ST category,Not Specified,Provides financial assistance for students preparing for competitive exams.,Not Specified,Not Specified,Varies,One year,Varying dates,https://telanganaepass.cgg.gov.in
239,Telangana,Kalanjiam Women's Scholarship,Women,"INR 300,000",UG/PG,Ug/pg,Female category,Not Specified,For women pursuing higher education in various disciplines.,Private,Not Specified,"Up to INR 25,000/year",Full course,Varying dates,https://www.kalanjiam.org
240,Telangana,TCS STEM Scholarship,All,"INR 400,000",UG/PG,Ug/pg,All category,Not Specified,Supports STEM students pursuing undergraduate or postgraduate courses.,Private,Not Specified,"INR 1,00,000/year",Full course,Varying dates,https://www.tcs.com
241,Telangana,Shaadi.com Women Empowerment Scholarship,Women,"INR 200,000",UG/PG,Ug/pg,Female category,Not Specified,Scholarship to support higher education for women.,Private,Not Specified,"INR 50,000/year",Full course,Varying dates,https://www.shaadi.com
242,Telangana,Indian Oil Corporation Ltd Scholarship,SC/ST/OBC/General,"INR 200,000",UG/PG,Students pursuing ug,SC/ST category,Not Specified,For students pursuing UG/PG courses in engineering or medical fields.,International,Not Specified,Up to INR 3 Lakhs/year,Full course,Varying dates,https://www.iocl.com
243,Telangana,Telangana JN Tata Endowment Scholarship,All,"INR 300,000",UG/PG,Ug/pg,All category,Not Specified,Provides financial assistance to meritorious students for higher studies.,Private,Not Specified,Varies,Full course,Varying dates,https://www.jntua.ac.in
244,Telangana,Ashoka University Scholarship,All,"INR 500,000",UG/PG,Ug/pg,All category,Not Specified,Merit-based scholarships for students enrolling in Ashoka University.,Private,Not Specified,Varies,Full course,Varying dates,https://www.ashoka.edu.in
245,Telangana,MSME India Scholarship,All,"INR 200,000",UG/PG,Ug/pg,All category,Not Specified,"Scholarships for students studying courses related to micro, small, and medium enterprises.",International,Not Specified,"INR 20,000-1,00,000/year",Full course,Varying dates,https://www.msme.gov.in
246,Telangana,IBM India Scholarship Program,All,"INR 300,000",UG/PG,Technology and engineering,All category,Not Specified,Provides financial aid to students pursuing technology and engineering fields.,International,Not Specified,"Up to INR 1,00,000/year",Full course,Varying dates,https://www.ibm.com
247,Telangana,ICICI Bank Scholarships for Children of Bank Employees,Children of ICICI Bank employees,All,UG/PG,Children of icici bank employees pursuing ug,Not Specified,Not Specified,Scholarships for children of ICICI Bank employees pursuing UG/PG studies.,Private,Not Specified,Varies,Full course,Varying dates,https://www.icicibank.com
248,Telangana,Reliance Foundation Dhirubhai Ambani Scholarship,All,"INR 400,000",UG/PG,Meritorious students pursuing undergraduate and postgraduate degree,All category,Not Specified,Scholarships for meritorious students pursuing undergraduate and postgraduate degrees.,NGO,Not Specified,Up to INR 2 Lakhs/year,Full course,Varying dates,https://www.reliancefoundation.org
249,Telangana,Narotam Sekhsaria Foundation Scholarship,All,"INR 300,000",UG/PG,Ug/pg,All category,Not Specified,Provides interest-free loans for postgraduate students in India and abroad.,International,Not Specified,Varies,Full course,Varying dates,https://www.nseam.org
250,Telangana,Sambhav Scholarship for Disadvantaged Students,All,"INR 200,000",UG/PG,Ug/pg,All category,Not Specified,Scholarships for students from disadvantaged backgrounds.,Private,Not Specified,Varies,Full course,Varying dates,https://www.sambhavs.org
251,Telangana,Global Scholarship Program by Azim Premji Foundation,All,"INR 500,000",UG/PG,Specific ug,All category,Not Specified,"For students pursuing higher education in the fields of technology, business, and design.",NGO,Not Specified,Varies,Full course,Varying dates,https://azimpremjifoundation.org
252,Odisha,NUA-O Scholarship,UG/PG Students,No Income Limit,Undergraduate/Postgraduate,Ug and pg,SC/ST category,Not Specified,"Financial assistance for UG and PG students in Odisha. Male students receive ₹9,000 per year; female students receive ₹10,000 per year. SC/ST male students receive ₹10,000; SC/ST female students receive ₹11,000 per year.",Private,Not Specified,"₹9,000-₹11,000 per year",Annual,March,https://www.shiksha.com/news/humanities-social-sciences-nua-o-scholarship-odisha-government-to-offer-financial-assistance-to-ug-pg-students-blogId-155557
253,Odisha,Junior Merit Scholarship (Medhabruti),All,₹6 lakh per annum,Higher Secondary,Higher secondary,All category,60% in last qualifying exam,Scholarship for students who have passed Higher Secondary Education with at least 60% marks.,Private,Not Specified,"₹3,000 per annum",2 years,November,https://www.buddy4study.com/article/odisha-scholarship
254,Odisha,Senior Merit Scholarship (Medhabruti),All,₹6 lakh per annum,Undergraduate,Graduate degree,All category,60% in last qualifying exam,For students pursuing a graduate degree with at least 60% marks in 12th standard.,Private,Not Specified,"₹5,000 per annum",3 years,November,https://www.buddy4study.com/article/odisha-scholarship
255,Odisha,Post Graduate Merit Scholarship (Medhabruti),All,₹6 lakh per annum,Postgraduate,Postgraduate degree,All category,60% in last qualifying exam,For students pursuing a postgraduate degree with at least 60% marks in their graduate degree.,Private,Not Specified,"₹10,000 per annum",2 years,November,https://www.buddy4study.com/article/odisha-scholarship
256,Odisha,Technical and Professional Merit (Medhabruti),All,₹6 lakh per annum,Undergraduate/Postgraduate,Students pursuing technical or professional,All category,60% in last qualifying exam,For students pursuing technical or professional courses with at least 60% marks in the last qualifying examination.,Not Specified,Not Specified,"₹10,000 per annum",As per course,November,https://www.buddy4study.com/article/odisha-scholarship
257,Odisha,Pre-Matric Scholarship for Students with Disabilities,Students with Disabilities,₹2.4 lakh per annum,Pre-Matric,Pre-matric,Not Specified,Not Specified,Financial assistance for students with at least 40% disability studying at pre-matric level.,Private,Not Specified,₹350-₹600 per month,10 months,To be announced,https://www.buddy4study.com/article/odisha-scholarship
258,Odisha,Post-Matric Scholarship for Students with Disabilities,Students with Disabilities,₹2.4 lakh per annum,Post-Matric,At post-matric,Not Specified,Not Specified,Financial assistance for students with at least 40% disability studying at post-matric level.,Private,Not Specified,"Maintenance allowance, additional allowances based on disability, fee reimbursement",As per course,To be announced,https://www.buddy4study.com/article/odisha-scholarship
259,Odisha,Gopabandhu Sikhya Sahayata Yojana,Underprivileged Students,₹2.5 lakh per annum,Graduation/Postgraduation,Graduation/postgraduation,Not Specified,Not Specified,Financial assistance to underprivileged students pursuing graduation and post-graduation courses.,Not Specified,Not Specified,"₹20,000 per year",Annual,As per applications,https://odishacareerguidance.com/oldscholarships1.php
260,Odisha,Pathani Samanta Mathematics Talent Scholarship,All,No Income Limit,Higher Secondary,Higher secondary,All category,Not Specified,Scholarship for meritorious students with proficiency in Mathematics studying in Odia medium government/aided/recognized institutions.,Government,Not Specified,"₹5,000 per year",Annual,As per applications,https://odishacareerguidance.com/oldscholarships1.php
261,Odisha,e-Medhabruti Scholarship,"General, SC/ST/OBC/SEBC",₹6 lakh per annum,UG/PG/Professional,"Ug, pg, and professional",SC/ST category,60% in last qualifying exam,"Financial assistance to meritorious students pursuing UG, PG, and professional courses.",Private,Not Specified,"₹5,000-₹10,000 per annum",1 year,November,https://scholarship.odisha.gov.in/
262,Odisha,Kalinga Sikhya Sathi Yojana (KSSY),All,₹6 lakh per annum,UG/PG,Ug/pg,All category,Not Specified,Education loan scheme providing loans up to ₹10 Lakh at 1% interest for higher studies.,Not Specified,Not Specified,Up to ₹10 Lakh,As per course,Open throughout,https://scholarship.odisha.gov.in/
263,Odisha,Biju Yuba Sashaktikaran Yojana (Laptop DBT),General,No Income Limit,Higher Secondary,Higher secondary,All category,70% in last qualifying exam,Distribution of laptops to meritorious students who have passed 12th grade with high marks.,Not Specified,Not Specified,Laptop,One-time,As per notification,https://scholarship.odisha.gov.in/
264,Odisha,Vyasakabi Fakirmohan Bhasabruti Scholarship,All,₹6 lakh per annum,UG/PG,Ug/pg,All category,Not Specified,Scholarship for students pursuing higher education in Odia language and literature.,Private,Not Specified,"₹5,000-₹10,000 per annum",1 year,November,https://scholarship.odisha.gov.in/
265,Odisha,Banishree Scholarship for Students with Disabilities,Students with Disabilities,"₹60,000 per annum",Class I to PG,Class i to pg,Not Specified,Not Specified,Financial assistance to students with disabilities pursuing education from primary to postgraduate levels.,Private,Not Specified,"₹200-₹1,200 per month",As per course,As per notification,https://scholarship.odisha.gov.in/
266,Odisha,Pathani Samanta Mathematics Scholarship,All,No Income Limit,Class VI to XII,Class vi to xii,All category,Not Specified,Scholarship for meritorious students with proficiency in Mathematics studying in Odia medium government/aided/recognized institutions.,Government,Not Specified,"₹5,000 per year",Annual,As per applications,https://scholarship.odisha.gov.in/
267,Odisha,Junior Merit-cum-Poverty Scholarship,OBC/SEBC,"₹24,000 per annum",Higher Secondary,Higher secondary,OBC category,Not Specified,Financial assistance to economically backward students pursuing higher secondary education.,Private,Not Specified,₹40 per month,2 years,As per notification,https://scholarship.odisha.gov.in/
268,Odisha,PG Merit-cum-Poverty Scholarship,OBC/SEBC,"₹24,000 per annum",Postgraduate,Postgraduate,OBC category,Not Specified,Financial assistance to economically backward students pursuing postgraduate studies.,Private,Not Specified,₹60 per month,2 years,As per notification,https://scholarship.odisha.gov.in/
269,Odisha,Scholarship for Children of Unclean Occupations,ALL,No Income Limit,Class I to X,Class i to x,All category,Not Specified,Financial assistance to children whose parents are engaged in unclean occupations.,Private,Not Specified,₹40-₹375 per month,10 months,As per notification,https://scholarship.odisha.gov.in/
270,Odisha,Sports Talent Scholarship,All,No Income Limit,Class VI to XII,Class vi to xii,All category,Not Specified,Scholarship to encourage students with exceptional sports talent.,Private,Not Specified,"₹2,000 per annum",Annual,As per notification,https://scholarship.odisha.gov.in/
271,Odisha,Reliance Foundation Undergraduate Scholarships,All,₹15 lakh per annum,Undergraduate,1st year ug,All category,Not Specified,Supports meritorious students pursuing undergraduate courses across all streams.,NGO,Not Specified,Up to ₹2 Lakhs over course duration,Full course,To be announced,https://www.scholarships.reliancefoundation.org/UG_Scholarship.aspx
272,Odisha,Vidyadhan Scholarship Program,Economically challenged students,₹2 lakh per annum,Higher Secondary,Higher secondary,Not Specified,80% in last qualifying exam,Provides financial assistance to meritorious students from economically challenged families for higher secondary education.,Private,Not Specified,"₹6,000-₹10,000 per annum",2 years,To be announced,https://www.vidyadhan.org/apply
273,Odisha,Sitaram Jindal Foundation Scholarship,All,₹2.5 lakh per annum,Class 11 to PG,Courses from class 11 to pg,All category,Not Specified,Offers scholarships to meritorious students from underprivileged backgrounds pursuing various courses.,NGO,Not Specified,"₹500-₹3,200 per month",As per course,April,https://www.sitaramjindalfoundation.org/scholarships/
274,Odisha,Narotam Sekhsaria Foundation Scholarship,All,No Income Limit,Postgraduate,Postgraduate,All category,Not Specified,Provides interest-free loans to meritorious students for postgraduate studies in India and abroad.,International,Not Specified,Varies (interest-free loan),Full course,March,https://www.narotamsekhsaria.org/
275,Odisha,Fair and Lovely Foundation Scholarship,Women,₹6 lakh per annum,Undergraduate/Postgraduate,Undergraduate/postgraduate,Female category,Not Specified,Supports women pursuing higher education in various fields.,NGO,Not Specified,"Up to ₹25,000 per annum",1 year,To be announced,https://www.glowandlovelycareers.in/en/scholarship
276,Odisha,HDFC Educational Crisis Scholarship Support,Students facing crises,₹3 lakh per annum,Class 6 to UG,Class 6 to ug,Not Specified,Not Specified,Provides financial assistance to students facing personal or family crises affecting their education.,Private,Not Specified,"Up to ₹75,000 per annum",1 year,To be announced,https://www.hdfcbank.com/personal/resources/learning-centre/educational-crisis-scholarship-support
277,Odisha,L'Oréal India For Young Women in Science Scholarship,Women,₹4 lakh per annum,Undergraduate,Ug degree in science,Female category,85% in last qualifying exam,Supports young women pursuing undergraduate degrees in science-related fields.,International,Not Specified,Up to ₹2.5 Lakhs,3 years,To be announced,https://www.loreal.com/en/india/pages/group/foryoungwomeninscience/
278,Odisha,Aditya Birla Scholarship,All,No Income Limit,Undergraduate,Undergraduate,All category,Not Specified,Provides scholarships to students from select institutes pursuing professional courses.,Private,Not Specified,"₹65,000-₹1,80,000 per annum",Full course,To be announced,https://www.adityabirlascholars.net/
279,Odisha,Tata Trusts Means Grant for College,All,₹6 lakh per annum,Undergraduate/Postgraduate,Undergraduate/postgraduate,All category,Not Specified,Provides financial assistance to students pursuing higher education in India.,International,Not Specified,Tuition fee support,1 year,To be announced,https://www.tatatrusts.org/our-work/education
280,Odisha,ONGC Scholarship for Meritorious SC/ST Students,SC/ST Students,₹4.5 lakh per annum,Undergraduate/Postgraduate,Undergraduate/postgraduate,SC/ST category,Not Specified,Provides financial assistance to meritorious SC/ST students pursuing professional courses.,Private,Not Specified,"₹48,000 per annum",Full course,To be announced,https://www.ongcindia.com/web/eng/scholarships
281,Odisha,Prof. Ghanshyam Dash Scholarship for Higher Education,All,₹2 lakh per annum,Undergraduate,Undergraduate,SC/ST category,Not Specified,"Financial assistance to students pursuing engineering, medicine, or liberal arts. Preference for SC/ST and physically disadvantaged students.",Private,Not Specified,Up to ₹1 Lakh per annum,4 years,October,https://ovoth.com/odisha-scholarship/
282,Odisha,OPGC Pratibha Bruti Scholarship,All,₹5 lakh per annum,Class 9 to 12,Students residing in eligible gram panchayats of jharsug,All category,Not Specified,"Scholarship for students residing in eligible Gram Panchayats of Jharsuguda, Odisha, with good academic records.",Private,Not Specified,"Up to ₹14,000",1 year,February,https://cigmapedia.com/scholarships/top-scholarships-for-odisha-students/
283,Odisha,Charles Wallace India Trust Short Research Grants,ALL,No Income Limit,PhD,Phd,All category,Not Specified,Grants for short-term research in arts or heritage conservation in the UK.,International,Not Specified,"£1,750",Short-term,February,https://cigmapedia.com/scholarships/top-scholarships-for-odisha-students/
284,Odisha,Adolescent Health Research Scholarship,All,No Income Limit,MD/PhD,Md/phd,All category,Not Specified,Supports early-career researchers focusing on adolescent health research.,Private,Not Specified,Up to ₹1 Lakh,1 year,February,https://cigmapedia.com/scholarships/top-scholarships-for-odisha-students/
285,Odisha,Dhaan Merit Scholarship,All,No Income Limit,Undergraduate,Undergraduate,All category,60% in last qualifying exam,Financial assistance for students from the Sourashtra community with excellent academic records.,Private,Not Specified,Financial assistance,1 year,February,https://cigmapedia.com/scholarships/top-scholarships-for-odisha-students/
286,Odisha,Dr APJ Abdul Kalam Young Research Fellowship,All,No Income Limit,Undergraduate/Postgraduate,Undergraduate/postgraduate,All category,Not Specified,"Supports young researchers working on innovative projects in environmental, scientific, and sustainable development areas.",Not Specified,Not Specified,"Up to ₹25,000",1 year,February,https://cigmapedia.com/scholarships/top-scholarships-for-odisha-students/
287,Odisha,LIFES GOOD Scholarship,All,No Income Limit,Undergraduate/Postgraduate,Undergraduate/postgraduate,Female category,Not Specified,Financial assistance to meritorious students from economically weaker backgrounds. Preference for female students.,Private,Not Specified,Up to ₹2 Lakhs per year,1 year,February,https://cigmapedia.com/scholarships/top-scholarships-for-odisha-students/
288,Odisha,Tata Capital Pankh Scholarship,All,No Income Limit,Class 11 to Graduation,"In class 11, 12, diploma",All category,Not Specified,"Financial support for students pursuing higher secondary, diploma, or general graduation courses.",Private,Not Specified,"₹10,000-₹12,000",1 year,February,https://cigmapedia.com/scholarships/top-scholarships-for-odisha-students/
289,Odisha,Coal India Limited Scholarship,ALL,No Income Limit,Undergraduate,Students pursuing engineering,All category,Not Specified,Full tuition fee coverage for students pursuing engineering courses.,International,Not Specified,Full tuition fees,Full course,January,https://cigmapedia.com/scholarships/top-scholarships-for-odisha-students/
290,Odisha,ZScholars Program,All,No Income Limit,Undergraduate,Undergraduate,All category,Not Specified,Financial assistance to first-year undergraduate students.,Not Specified,Not Specified,"₹ 50,000",1 year,January,https://cigmapedia.com/scholarships/top-scholarships-for-odisha-students/](https://cigmapedia.com/scholarships/top-scholarships-for-odisha-students
291,Odisha,Subhadra Yojana,Women,"≤ ₹1,500/month (from other govt. schemes)",Ages 21-60,Ages 21-60,Female category,Not Specified,Provides financial assistance to women from economically weaker sections to promote economic empowerment.,Not Specified,Not Specified,"₹10,000 annually (₹5,000 per installment)",5 years,No deadline,https://subhadra.odisha.gov.in/
292,Odisha,ArcelorMittal Nippon Steel Beti Padhao Scholarship,Girls,≤ ₹5 lakh per annum,Class 11 to UG,In class 11 to ug,Female category,Not Specified,"Supports female students from specific states, including Odisha, to pursue higher education.",Government,Not Specified,"Up to ₹50,000 based on course level",1 year,January,https://cigmapedia.com/scholarships/top-scholarships-for-odisha-students/
293,Odisha,PRERANA Post-Matric Scholarship for EBC Students,Economically Backward Class (EBC),≤ ₹1 lakh per annum,Post-Matriculation,Post-matriculation,OBC category,Not Specified,Financial assistance for EBC students pursuing higher studies in government institutions.,Government,Not Specified,Tuition fees and maintenance allowance (₹350 for day scholars; ₹750 for hostellers),As per course,August,https://ovoth.com/odisha-scholarship/
294,Odisha,Kalia Scholarship,MBC,No Income Limit,Technical/Vocational,Children of farmers covered under the kalia yojana pursuing technical,Not Specified,Not Specified,Financial support for children of farmers covered under the KALIA Yojana pursuing technical and vocational courses.,Private,Not Specified,Varies based on course,As per course,As per notification,https://mahascholarship.com/odisha-scholarship-2024-25/
295,Odisha,Biju Yuba Sashaktikaran Yojana (Laptop DBT),General,No Income Limit,Higher Secondary,Purchasing laptops to meritorious students who have passed class 12,All category,Not Specified,Provides financial assistance for purchasing laptops to meritorious students who have passed Class 12.,Not Specified,Not Specified,"₹ 30,000",One-time,As per notification,https://mahascholarship.com/odisha-scholarship-2024-25/
296,Odisha,Gopabandhu Sikhya Sahayata Yojana,ALL,No Income Limit,UG/PG,Ug or pg,All category,Not Specified,Financial support for UG and PG students from socially vulnerable backgrounds.,Not Specified,Not Specified,"₹20,000 per annum",1 year,As per notification,https://mahascholarship.com/odisha-scholarship-2024-25/
297,Odisha,NUA-O Scholarship,General,No Income Limit,UG/PG,Regular ug or pg,All category,Not Specified,Financial assistance to undergraduate and postgraduate students to empower and motivate skill development.,Private,Not Specified,"Up to ₹11,000",1 year,March,https://www.collegesearch.in/articles/nua-o-scholarship
298,Odisha,"Pre-Matric Scholarship for ST, SC, and MBC Students","ST, SC, MBC",≤ ₹2.5 lakh per annum,Class 9 and 10,In class 9,Not Specified,Not Specified,Aims to promote literacy and reduce dropouts by providing financial assistance to pre-matric students.,Private,Not Specified,Financial assistance,1 year,February,https://www.buddy4study.com/scholarship/pre-matric-scholarship-for-st-sc-and-mbc-students-odisha-2024-25
299,Odisha,Banishree Scholarship for Students with Disabilities,All,"≤ ₹60,000 per annum",Class 1 to PG,Class 1 to pg,Students with Disabilities,Not Specified,Supports students with disabilities pursuing education from primary to postgraduate levels.,Private,Not Specified,₹200-₹350 per month,As per course,December,https://cigmapedia.com/scholarships/top-scholarships-for-odisha-students/
300,Odisha,Shahid Madho Singh Haath Kharcha Yojna Scholarship,"SC, ST, OBC, EBC",≤ ₹2.5 lakh per annum,Post-Matriculation,Post-matriculation,OBC category,Not Specified,Provides,Private,Not Specified,,,Not Specified,Not Available
301,West Bengal,Swami Vivekananda Merit-cum-Means Scholarship,General,No Income Limit,Class 11 to PhD,Class 11 to phd,All category,60% in last qualifying exam,Provides financial assistance to meritorious and economically disadvantaged students to pursue higher education.,Private,Not Specified,"₹12,000 to ₹96,000 per annum",Varies,September,https://wbsche.wb.gov.in/scholarship
302,West Bengal,"Kanyashree Prakalpa (K1, K2, & K3)",Girls,No Income Limit,Class 8 to UG,Class 8 to ug,Female category,Not Specified,Aims to reduce dropout rates and prevent early marriage by providing financial support to girls aged 13-18.,Not Specified,Not Specified,"₹1,000 annually; ₹25,000 one-time grant",Varies,No deadline,https://wbkanyashree.gov.in/
303,West Bengal,West Bengal Post-Matric Scholarship for SC/ST/OBC,SC/ST/OBC,Sc/st: ₹2-2.5 lakh; obc: ₹1 lakh,Class 11 to PG,Class 11 to pg,SC/ST category,Not Specified,Provides financial assistance to SC/ST/OBC students pursuing post-matric education.,Private,Not Specified,Tuition fees and maintenance allowance,As per course,September,https://oasis.gov.in/
304,West Bengal,West Bengal Pre-Matric Scholarship for SC/ST Students,SC/ST,₹2 lakh per annum,Class 9 and 10,Class 9 and 10,SC/ST category,Not Specified,Supports SC/ST students in Classes 9 and 10 to prevent dropout and promote education.,Private,Not Specified,₹150-₹750 per month,1 year,September,https://oasis.gov.in/
305,West Bengal,Bigyani Kanya Medha Britti Scholarship,Girls,No Income Limit,"UG (Science, Engineering, Medicine)",Specified ug,Female category,60% in last qualifying exam,Encourages girls to pursue higher education in science and technology fields.,Private,Not Specified,"₹3,000 per month; ₹2,000 book grant",As per course,May,https://shrishikshayatancollege.org/scholarship-from-govt-of-west-bengal/
306,West Bengal,Hindi Scholarship Scheme,General,No Income Limit,Class 11 to PG,Hindi language courses at class 11 to pg,All category,Not Specified,Promotes Hindi language studies by providing financial support to students.,Private,Not Specified,"₹300-₹1,000 per month",As per course,October,https://wbhed.gov.in/
307,West Bengal,Swami Vivekananda Merit-cum-Means Scholarship for Minorities,Minority Communities,No Income Limit,Class 11 to PhD,Class 11 to phd,Minority category,60% in last qualifying exam,Provides financial assistance to meritorious minority students for higher education.,Private,Not Specified,"₹12,000 to ₹96,000 per annum",Varies,September,https://wbmdfc.org/
308,West Bengal,West Bengal Talent Support Stipend Programme,General,No Income Limit,Class 11 to PhD,Class 11 to phd,All category,Not Specified,Offers financial assistance to students from economically backward sections to encourage academic excellence.,Not Specified,Not Specified,"₹1,000-₹5,000 per month",As per course,No deadline,https://wbmdfc.org/
